Date,Price
2013-03-01,7.7551
2013-03-02,7.7552
2013-03-03,7.7552
2013-03-04,7.7552
2013-03-05,7.7555
2013-03-06,7.7557
2013-03-07,7.7561
2013-03-08,7.7565
2013-03-09,7.757
2013-03-10,7.757
2013-03-11,7.757
2013-03-12,7.7567
2013-03-13,7.7582
2013-03-14,7.7582
2013-03-15,7.759
2013-03-16,7.7615
2013-03-17,7.7615
2013-03-18,7.7615
2013-03-19,7.7606
2013-03-20,7.7621
2013-03-21,7.7622
2013-03-22,7.7627
2013-03-23,7.7615
2013-03-24,7.7615
2013-03-25,7.7615
2013-03-26,7.7592
2013-03-27,7.764
2013-03-28,7.7625
2013-03-29,7.7629
2013-03-30,7.7635
2013-03-31,7.7635
2013-04-01,7.7635
2013-04-02,7.7625
2013-04-03,7.7618
2013-04-04,7.7636
2013-04-05,7.7652
2013-04-06,7.7643
2013-04-07,7.7643
2013-04-08,7.7643
2013-04-09,7.7641
2013-04-10,7.7624
2013-04-11,7.7615
2013-04-12,7.7615
2013-04-13,7.7622
2013-04-14,7.7622
2013-04-15,7.7622
2013-04-16,7.7625
2013-04-17,7.7628
2013-04-18,7.7636
2013-04-19,7.7637
2013-04-20,7.7638
2013-04-21,7.7638
2013-04-22,7.7638
2013-04-23,7.7644
2013-04-24,7.7644
2013-04-25,7.7645
2013-04-26,7.7635
2013-04-27,7.761
2013-04-28,7.761
2013-04-29,7.761
2013-04-30,7.7606
2013-05-01,7.7603
2013-05-02,7.7587
2013-05-03,7.7591
2013-05-04,7.7594
2013-05-05,7.7594
2013-05-06,7.7594
2013-05-07,7.7606
2013-05-08,7.7595
2013-05-09,7.759
2013-05-10,7.7606
2013-05-11,7.7616
2013-05-12,7.7616
2013-05-13,7.7616
2013-05-14,7.7613
2013-05-15,7.7617
2013-05-16,7.7638
2013-05-17,7.7627
2013-05-18,7.7617
2013-05-19,7.7617
2013-05-20,7.7617
2013-05-21,7.7607
2013-05-22,7.7613
2013-05-23,7.7625
2013-05-24,7.7635
2013-05-25,7.7635
2013-05-26,7.7635
2013-05-27,7.7635
2013-05-28,7.7636
2013-05-29,7.7637
2013-05-30,7.7639
2013-05-31,7.7625
2013-06-01,7.7626
2013-06-02,7.7626
2013-06-03,7.7626
2013-06-04,7.7612
2013-06-05,7.761
2013-06-06,7.7617
2013-06-07,7.7629
2013-06-08,7.764
2013-06-09,7.764
2013-06-10,7.764
2013-06-11,7.7646
2013-06-12,7.7654
2013-06-13,7.7638
2013-06-14,7.7612
2013-06-15,7.7598
2013-06-16,7.7598
2013-06-17,7.7598
2013-06-18,7.7583
2013-06-19,7.7564
2013-06-20,7.7534
2013-06-21,7.7583
2013-06-22,7.7581
2013-06-23,7.7581
2013-06-24,7.7581
2013-06-25,7.758
2013-06-26,7.7584
2013-06-27,7.7579
2013-06-28,7.756
2013-06-29,7.7554
2013-06-30,7.7554
2013-07-01,7.7554
2013-07-02,7.7535
2013-07-03,7.7545
2013-07-04,7.7545
2013-07-05,7.7547
2013-07-06,7.7562
2013-07-07,7.7562
2013-07-08,7.7562
2013-07-09,7.7562
2013-07-10,7.7569
2013-07-11,7.7572
2013-07-12,7.7581
2013-07-13,7.7587
2013-07-14,7.7587
2013-07-15,7.7587
2013-07-16,7.7572
2013-07-17,7.7576
2013-07-18,7.7575
2013-07-19,7.7577
2013-07-20,7.7579
2013-07-21,7.7579
2013-07-22,7.7579
2013-07-23,7.7576
2013-07-24,7.7575
2013-07-25,7.7577
2013-07-26,7.7571
2013-07-27,7.7574
2013-07-28,7.7574
2013-07-29,7.7574
2013-07-30,7.7549
2013-07-31,7.7558
2013-08-01,7.7559
2013-08-02,7.7557
2013-08-03,7.7564
2013-08-04,7.7564
2013-08-05,7.7564
2013-08-06,7.7561
2013-08-07,7.7564
2013-08-08,7.7562
2013-08-09,7.7556
2013-08-10,7.7556
2013-08-11,7.7556
2013-08-12,7.7556
2013-08-13,7.755
2013-08-14,7.7552
2013-08-15,7.7548
2013-08-16,7.7542
2013-08-17,7.7546
2013-08-18,7.7546
2013-08-19,7.7546
2013-08-20,7.7537
2013-08-21,7.7545
2013-08-22,7.7554
2013-08-23,7.7551
2013-08-24,7.7554
2013-08-25,7.7554
2013-08-26,7.7554
2013-08-27,7.7562
2013-08-28,7.7551
2013-08-29,7.755
2013-08-30,7.7544
2013-08-31,7.7544
2013-09-01,7.7544
2013-09-02,7.7544
2013-09-03,7.7547
2013-09-04,7.7554
2013-09-05,7.7557
2013-09-06,7.7554
2013-09-07,7.755
2013-09-08,7.755
2013-09-09,7.755
2013-09-10,7.7547
2013-09-11,7.7545
2013-09-12,7.754
2013-09-13,7.7544
2013-09-14,7.7536
2013-09-15,7.7536
2013-09-16,7.7536
2013-09-17,7.7538
2013-09-18,7.7539
2013-09-19,7.7535
2013-09-20,7.7533
2013-09-21,7.7533
2013-09-22,7.7533
2013-09-23,7.7533
2013-09-24,7.7536
2013-09-25,7.7537
2013-09-26,7.7542
2013-09-27,7.7539
2013-09-28,7.7551
2013-09-29,7.7551
2013-09-30,7.7551
2013-10-01,7.7535
2013-10-02,7.7545
2013-10-03,7.7542
2013-10-04,7.7541
